year,mandate_description_en,mandate_description_fr,operational_activities_kdollars,key_stakeholders_kdollars,training_kdollars,other_kdollars,internal_governance_kdollars,non_public_servants_kdollars,public_servants_kdollars,hospitality_kdollars,conference_fees_kdollars,minister_kdollars,travel_compared_fiscal_year_en,travel_compared_fiscal_year_fr,hospitality_compared_fiscal_year_en,hospitality_compared_fiscal_year_fr,conference_fees_compared_fiscal_year_en,conference_fees_compared_fiscal_year_fr,minister_compared_fiscal_year_en,minister_compared_fiscal_year_fr,owner_org,owner_org_title
2020,"Expenditures on travel, hospitality and conference fees incurred by Accessibility Standards Canada support the organization's mandate. The organization's mandate is to contribute to a barrier-free Canada through the development and review of accessibility standards, promotion of research on barrier identification, prevention and removal of barriers, and finally, sharing information related to accessibility. Further details about the organization's mandate and program activities can be found in the organization's Departmental Results Report, Departmental Plan and on the organization's website.","Les dépenses de voyage, d'accueil et de conférence engagées par Normes d'accessibilité Canada soutiennent le mandat de l'organisation. Ce mandat est de contribuer à la création d'un Canada exempt d'obstacle par l'entremise de l'élaboration et l'examination des normes d'accessibilité, de promouvoir la recherche sur la reconnaissance d'obstacle, la prévention et l'élimination des obstacles, et finalement, de transmettre l'information sur l'accessibilité. Le Rapport sur les résultats ministériels et le Plan ministériel contiennent d'autres renseignements sur le mandat et les activités de l'organisation et peuvent être consultés sur le site web de l'organisation.",78,0,0,18,0,,,6,0,0,N/A,S/O,N/A,S/O,N/A,S/O,N/A,S/O,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
2021,"Expenditures on travel, hospitality and conference fees incurred by Accessibility Standards Canada support the organization's mandate. The organization's mandate is to contribute to a barrier-free Canada through the development and review of accessibility standards, promotion of research on barrier identification, prevention and removal of barriers, and finally, sharing information related to accessibility. Further details about the organization's mandate and program activities can be found in the organization's Departmental Results Report, Departmental Plan and on the organization's website.","Les dépenses de voyage, d'accueil et de conférence engagées par Normes d'accessibilité Canada soutiennent le mandat de l'organisation. Ce mandat est de contribuer à la création d'un Canada exempt d'obstacle par l'entremise de l'élaboration et l'examination des normes d'accessibilité, de promouvoir la recherche sur la reconnaissance d'obstacle, la prévention et l'élimination des obstacles, et finalement, de transmettre l'information sur l'accessibilité. Le Rapport sur les résultats ministériels et le Plan ministériel contiennent d'autres renseignements sur le mandat et les activités de l'organisation et peuvent être consultés sur le site web de l'organisation.",15,0,0,0,0,,,0,0,0,Travel expenses were limited due to the COVID-19 pandemic.,Les frais de voyages ont été limités due à la pandémie de la COVID-19.,Hospitality expenses were limited due to the COVID-19 pandemic.,Les frais d'accueil ont été limités due à la pandémie de la COVID-19.,N/A,S/O,N/A,S/O,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
2022,"Expenditures on travel, hospitality and conference fees incurred by Accessibility Standards Canada support the organization's mandate. The organization's mandate is to contribute to a barrier-free Canada through the development and review of accessibility standards, promotion of research on barrier identification, prevention and removal of barriers, and finally, sharing information related to accessibility. Further details about the organization's mandate and program activities can be found in the organization's Departmental Results Report, Departmental Plan and on the organization's website.","Les dépenses de voyage, d'accueil et de conférence engagées par Normes d'accessibilité Canada soutiennent le mandat de l'organisation. Ce mandat est de contribuer à la création d'un Canada exempt d'obstacle par l'entremise de l'élaboration et l'examination des normes d'accessibilité, de promouvoir la recherche sur la reconnaissance d'obstacle, la prévention et l'élimination des obstacles, et finalement, de transmettre l'information sur l'accessibilité. Le Rapport sur les résultats ministériels et le Plan ministériel contiennent d'autres renseignements sur le mandat et les activités de l'organisation et peuvent être consultés sur le site web de l'organisation.",0,6,0,0,0,,,0,0,0,Travel expenses were limited due to the COVID-19 pandemic.,Les frais de voyages ont été limités due à la pandémie de la COVID-19.,N/A,S/O,N/A,S/O,N/A,S/O,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
2016,"The Department supports the sector from the farmer to the consumer, from the farm to global markets, through all phases of producing, processing and marketing of farm, food and agri-based products. Agriculture is a shared jurisdiction in Canada, and the Department works closely with provincial and territorial governments in the development and delivery of policies, programs and services.","Le Ministère soutient le secteur entre l’agriculteur et le consommateur, entre l’exploitation agricole et les marchés mondiaux et concernent toutes les phases de la production, la transformation et la commercialisation des produits de la ferme, de l’alimentation et agro-industriels. L’agriculture relève d’une compétence partagée au Canada, et le Ministère collabore étroitement avec les gouvernements provinciaux et territoriaux dans le cadre de l’élaboration et de l’exécution de politiques, de programmes et de services.",.,.,.,.,.,718,7967,226,148,29,"Public Servants: 7967 ;
Non-Public Servants: 718","Voyages des fonctionnaires: 7967 ;
Voyages des non-fonctionnaires: 718",,,,,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017,"The Department supports the sector from the farmer to the consumer, from the farm to global markets, through all phases of producing, processing and marketing of farm, food and agri-based products. Agriculture is a shared jurisdiction in Canada, and the Department works closely with provincial and territorial governments in the development and delivery of policies, programs and services.","Le Ministère soutient le secteur entre l’agriculteur et le consommateur, entre l’exploitation agricole et les marchés mondiaux et concernent toutes les phases de la production, la transformation et la commercialisation des produits de la ferme, de l’alimentation et agro-industriels. L’agriculture relève d’une compétence partagée au Canada, et le Ministère collabore étroitement avec les gouvernements provinciaux et territoriaux dans le cadre de l’élaboration et de l’exécution de politiques, de programmes et de services.",.,.,.,.,.,1173,9366,367,202,185,"Public Servants: 9366 The $1.4 million overall increase in travel expenditures was partly attributable to the lifting of restrictions related to the Caretaker Convention that had been in effect in 2015-2016.  Under the Caretaker Convention, the government acts with restraint during an election, confining itself to necessary routine or urgent public business. The increase was primarily in support of AAFC's mandate, including increased scientific missions to China and large joint conferences of scientific societies. It also includes travel for accelerated infrastructure activities, the canola trade issue with China, the Canadian Agriculture Partnership (CAP) and Federal, Provincial, Territorial (FPT) meetings. ;
Non-Public Servants: 1173 2016-2017 departmental travel expenditures by non-public servants increased by $455 thousand in comparison to 2015-2016, of which $156 thousand was related to travel expenditures for the Minister and his staff which was mainly due to the lifting of restrictions related to the Caretaker Convention. Under the Caretaker Convention, the government acts with restraint during an election, confining itself to necessary routine or urgent public business. The increases in other travel expenditures for non-public servants were attributed to travel for the Grain Monitoring Program, consultations on the development of the Canadian Agricultural Partnership (CAP), as well as conducting interviews to increase scientific capacity.","Voyages des fonctionnaires: 9366 L’augmentation de 1,4 million de dollars des dépenses de voyages est en partie attribuable à la levée des restrictions liées à la convention de transition en vigueur depuis 2015-2016. Aux termes de cette convention, le gouvernement fait preuve de retenue et s’en tient aux affaires d’intérêts publics courantes ou urgentes. L’augmentation est en partie attribuable aux activités entreprises pour réaliser le mandat d’AAC, ce qui comprend un nombre accru de missions scientifiques en Chine et de grandes conférences conjointes avec des sociétés scientifiques, des voyages pour la réalisation d’activités d’infrastructure accélérées, le dossier sur le commerce du canola avec la Chine, le Partenariat canadien pour l’agriculture (PCA) et les réunions fédérales, provinciales et territoriales (FPT). ;
Voyages des non-fonctionnaires: 1173 Les dépenses de voyages des non-fonctionnaires ont augmenté de 455 000 $ en 2016-2017 comparativement à 2015-2016. De ce montant, 156 000 $ étaient liés aux dépenses de voyages du ministre et de son personnel qui sont principalement attribuables à la levée des restrictions relatives à la convention de transition. Aux termes de cette convention, le gouvernement fait preuve de retenue et s’en tient aux affaires d’intérêts publics courantes ou urgentes. Les augmentations des autres dépenses de voyage des non-fonctionnaires sont attribuables aux voyages effectués dans le cadre du Programme de surveillance du grain, des consultations sur l’établissement du Partenariat canadien pour l’agriculture (PCA) et des entrevues visant à renforcer la capacité scientifique.","Compared with fiscal year 2015-2016, departmental hospitality expenditures have increased by $141 thousand. This increase was mainly due to the CAP and Federal, Provincial, Territorial (FPT) meetings as well as increased number of roundtables, industry consultations and missions. It can also be further attributed to increased scientific missions to China and large joint conferences of scientific societies.","Comparativement à l’exercice 2015-2016, les dépenses ministérielles en matière d’hébergement ont augmenté de 141 000 $. Cette augmentation est principalement attribuable au PCA, aux réunions FPT et au nombre accru de tables rondes, de consultations avec l’industrie et de missions. Elle peut également être attribuée au nombre accru de missions scientifiques en Chine et aux grandes conférences conjointes avec des sociétés scientifiques.","Compared with fiscal year 2015-2016 departmental conference fees expenditures increased by $54 thousand primarily due to a reclassification of expenditures in 2016-2017 from training to conference fees, scientific missions to China and large joint conferences of scientific societies.","Comparativement à l’exercice 2015-2016, les dépenses ministérielles pour participation aux conférences ont augmenté de 54 000 $ principalement en raison de la reclassification des dépenses en 2016-2017 (qui sont passés de dépenses de formation en dépenses de participation aux conférences), des missions scientifiques en Chine et des grandes conférences conjointes avec des sociétés scientifiques.","The Minister and his staff participated in a number of trade missions to advance the Government’s overall priority of strengthening the economy, while also deepening key agricultural partnerships to position the sector to take full advantage of market access opportunities. Ministerial trade missions were carried out to support and enhance the competitiveness of the agriculture and agri-food sector by: advocating on issues of importance to the Canadian sector with key decision makers including Canada’s position on agricultural biotechnology and market access in India and Vietnam (March 2016); supporting the sector in developing markets abroad through participation in key international trade shows and conferences such as the China Fish and Seafood Expo in Qingdao and the Food and Hospitality China in Shanghai (November 2016); deepening bilateral relations with key trading partners including the European Union, China, India, Japan and Vietnam; promoting the Canada-European Union Comprehensive Economic and Trade Agreement (CETA) and the importance of open trade and strong cooperation during the Agriculture Ministers' Summit in Berlin, Germany (January 2017).","Le ministre et son personnel ont participé à diverses missions commerciales dans le but de réaliser la grande priorité du gouvernement consistant à stimuler l’économie, tout en renforçant les partenariats agricoles clés pour aider le secteur à profiter pleinement des possibilités d’accès aux marchés. Des missions commerciales ministérielles ont été effectuées afin d’accroître la compétitivité du secteur de l’agriculture et de l’agroalimentaire, notamment en accomplissant ce qui suit : souligner aux grands décideurs les enjeux importants pour le secteur canadien, comme la position du Canada sur la biotechnologie agricole et l’accès au marché en Inde et au Vietnam (mars 2016); aider le secteur à développer des marchés à l’étranger en participant à des foires commerciales et à des conférences internationales d’envergure, comme la China Fish and Seafood Expo à Qingdao et à la Food and Hospitality China à Shanghai (novembre 2016); renforcer les relations bilatérales avec les partenaires commerciaux clés, comme l’Union européenne, la Chine, l’Inde, le Japon et le Vietnam; faire la promotion de l’Accord économique et commercial global entre le Canada et l’Union européenne (AECG) ainsi que de l’importance du commerce ouvert et d’une solide coopération lors du Sommet des ministres de l’Agriculture à Berlin, en Allemagne (janvier 2017).",aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2018,"The Department supports the sector from the farmer to the consumer, from the farm to global markets, through all phases of producing, processing and marketing of farm, food and agri-based products. Agriculture is a shared jurisdiction in Canada, and the Department works closely with provincial and territorial governments in the development and delivery of policies, programs and services.","Le Ministère soutient le secteur entre l’agriculteur et le consommateur, entre l’exploitation agricole et les marchés mondiaux et concernent toutes les phases de la production, la transformation et la commercialisation des produits de la ferme, de l’alimentation et agro-industriels. L’agriculture relève d’une compétence partagée au Canada, et le Ministère collabore étroitement avec les gouvernements provinciaux et territoriaux dans le cadre de l’élaboration et de l’exécution de politiques, de programmes et de services.",9200,466,778,598,190,,,442,198,109,"The $693K increase in travel expenditures was attributed to operational activities as a result of meetings related to North American Free Trade Agreement (NAFTA) negotiations, the new agricultural policy framework - Canadian Agriculture Partnership (CAP), ministerial missions, trade shows, outreach activities and attendance at bi-annual international meetings (not held in the previous year) such as the Food & Agriculture Organization of the United Nations Committee on Commodity Problems and Agriculture Committee meetings.","L’augmentation de 693 000 $ des dépenses de voyages a été attribuée aux activités opérationnelles en conséquence de réunions liées aux négociations de l’Accord de libre‑échange nord‑américain (ALENA), au nouveau cadre stratégique agricole pour le Partenariat canadien pour l’agriculture (PCA), aux missions ministérielles, aux foires commerciales, aux activités de sensibilisation et à la participation aux réunions internationales semestrielles (qui n’avaient pas eu lieu l’année précédente) comme le comité de l’Organisation des Nations Unies pour l’alimentation et l’agriculture sur les problèmes liés aux produits ainsi que les réunions du Comité de l’agriculture.","Hospitality expenditures were $75K higher than the previous year due to various events such as Canada 150 celebration activities during the National Public Service Week, milestone celebrations at Research Centres, National Food Policy consultation, AgriRisk Initiatives 2017 Forum and Federal, Provincial, Territorial (FPT) Partnership events.","Comparativement à l’exercice 2016-2017, les dépenses ministérielles d’accueil ont augmenté de 75 000 $ en raison de divers événements tels que les activités de célébration Canada 150 de la Semaine nationale de la fonction publique au Canada, les célébrations d’événements importants dans les centres de recherche, les consultations sur la politique alimentaire nationale, le Forum des initiatives Agri‑risques de 2017 et les événements de partenariat fédéral, provincial, territorial (FPT).","Departmental conference fees expenditures in 2017-18 varied only marginally from 2016-17, with a decrease of $4K.","Les dépenses relatives aux droits d’inscription aux conférences ministérielles de 2017‑2018 n’ont varié que marginalement par rapport à 2016‑2017, avec une diminution de 4 000 $.","In the fiscal year 2017-2018, the Minister and his staff participated in several trade missions to further the Government’s commitment to growing the economy and strengthening agricultural relationships to enhance market export opportunities. Several ministerial missions were carried out to support or enhance the competitiveness in the sector by: promoting opportunities in the European Union (Germany, Belgium and Italy) created by Canada-European Union  Comprehensive Economic and Trade Agreement through participation at Anuga international trade show and industry roundtables while advocating on important market access and policy issues affecting the Canadian agriculture sector (October 2017); supporting the sector by maintaining and expanding trade and market access opportunities in developing markets in China while deepening existing relationships (November 2017); enhancing positive bilateral relationships with Mexico and participating in an international trade show Alimentaria (December 2017); improving mutually beneficial commercial relations with Japan and South Korea in trade, investment, science, technology and innovation (March 2018).","Au cours de l’exercice 2017‑2018, le ministre et son personnel ont participé à plusieurs missions commerciales pour faire avancer l’engagement du gouvernement à faire croître l’économie et à améliorer les possibilités d’exportation en renforçant les relations dans le secteur agricole. Plusieurs missions ministérielles ont été menées afin de soutenir ou de rehausser la capacité concurrentielle du secteur : promotion des possibilités dans l’Union européenne (Allemagne, Belgique et Italie) créées par l’Accord économique et commercial global entre le Canada et l’Union européenne  par la participation à la foire commerciale internationale Anuga et aux tables rondes de l’industrie, afin de soutenir d’importantes questions d’accès aux marchés et de politiques touchant le secteur agricole canadien (octobre 2017); soutien au secteur par le maintien et l’élargissement des possibilités de commerce et d’accès aux marchés en développement en Chine et l’approfondissement des relations existantes (novembre 2017); amélioration des relations bilatérales positives avec le Mexique et participation au salon international Alimentaria (décembre 2017); amélioration des relations commerciales mutuellement bénéfiques avec le Japon et la Corée du Sud dans les domaines du commerce, de l’investissement, des sciences, de la technologie et de l’innovation (mars 2018).",aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2019,"The Department supports the agriculture and agri-food sector from the farmer to the consumer, from the farm to global markets, through all phases of producing, processing and marketing of farm, food and agri-based products. Agriculture is a shared jurisdiction in Canada, and the Department works closely with provincial and territorial governments in the development and delivery of policies, programs and services.","Le Ministère soutient le secteur agriculture et agroalimentaire entre l’agriculteur et le consommateur, entre l’exploitation agricole et les marchés mondiaux et concernent toutes les phases de la production, la transformation et la commercialisation des produits de la ferme, de l’alimentation et agro-industriels. L’agriculture relève d’une compétence partagée au Canada, et le Ministère collabore étroitement avec les gouvernements provinciaux et territoriaux dans le cadre de l’élaboration et de l’exécution de politiques, de programmes et de services.",6669,1327,1721,681,530,,,441,140,153,"Compared to fiscal year 2017-2018, departmental travel expenditures in 2018-2019 decreased by $303K or 2.7%, mainly attributed to reduced travel for operational activities in an effort to remain within the annual travel budgets, partially offset by increased expenditures due to a reclassification of scientific presentations from operational activities to training, negotiations related to Canada-United States-Mexico Agreement (CUSMA), as well as collaborative research and development agreements for the Canadian Agricultural Partnership (CAP) and Living Labs Initiative.","En 2018‑2019, les dépenses de voyage du Ministère ont diminué de 303 000 $ comparativement à l’exercice 2017-2018, soit une baisse de 2,7 %. Cela est principalement attribuable à la réduction de voyages liés aux activités opérationnelles afin de ne pas dépasser les allocations de voyage annuelles. Cette réduction a été compensée en partie par l’augmentation des dépenses découlant de la reclassification des présentations scientifiques (qui sont passées des activités opérationnelles à la formation), des négociations liées à l’Accord Canada–États-Unis–Mexique (ACEUM), ainsi que des ententes de collaboration en matière de recherche et de développement dans le cadre du Partenariat canadien pour l’agriculture (PCA) et de l’Initiative des laboratoires vivants.","Departmental hospitality expenditures in 2018-2019 varied only marginally from 2017-2018, with a decrease of $1K.","Les dépenses d’accueil du Ministère en 2018-2019 n’ont varié que marginalement par rapport à 2017-2018, avec une diminution de 1 000 $.","Compared to fiscal year 2017-2018, departmental conference fees in 2018-2019 decreased by $58K or 29.1%, mainly due to implementation of cost reduction measures such as reducing the number of attendees and taking advantage of early bird pricing in conferences.","En 2018-2019, les dépenses ministérielles liées aux conférences ont diminué de 58 000 $ comparativement à l’exercice 2017-2018, soit une baisse de 29,1 %. Cela est principalement attribuable à la mise en œuvre de mesures de réduction des coûts, par exemple en diminuant le nombre de participants et en profitant des rabais pour inscription hâtive aux conférences.","Compared to fiscal year 2017-2018, Minister and Minister’s Office staff international travel expenditures in 2018-2019 increased by $44K or 40.7%. In 2018-2019, the Minister and Minister’s Office staff participated in several trade missions to further the Government’s commitment to growing the economy and strengthening agricultural relationships to enhance market opportunities. This included attending and speaking at the World Meat Congress in Dallas, Texas and participating at the G20 Agriculture Ministerial Meetings and outreach in Argentina and Chile (July/August 2018). To maximize the use of resources and better support the Government’s goal of increasing agriculture, seafood, and agri-food exports to $75 billion by 2025 and to better support the Government’s trade and market access agenda and industry in advancing new markets for Canadian products, the Minister travelled to meet with key stakeholders in China (May and November 2018) and in Washington, D.C. (February 2019). To help the sector take advantage of the Canada-European Union (EU) Comprehensive Economic and Trade Agreement (CETA) opportunities, the Minister engaged key industry and government officials, including attending high-level meetings with European Union Commissioners and representatives of European member states in Spain, Belgium and Italy (October 2018).","En 2018-2019, les dépenses liées aux voyages internationaux du ministre et de son personnel ont augmenté de 44 000 $ comparativement à l’exercice 2017-2018, soit une hausse de 40,7 %. En 2018-2019, le ministre et son personnel ont participé à plusieurs missions commerciales afin d’aider le gouvernement à respecter son engagement à stimuler l’économie et à renforcer les relations dans le secteur agricole pour accroître les débouchés commerciaux. Le ministre a assisté et pris la parole au Congrès mondial de la viande à Dallas, au Texas, et participé aux réunions des ministres de l’Agriculture du G20 et à des activités de sensibilisation en Argentine et au Chili (juillet et août 2018). Pour maximiser l’utilisation des ressources et mieux appuyer l’objectif du gouvernement de faire passer les exportations de produits agricoles et agroalimentaires et de produits de la mer à 75 milliards de dollars d’ici 2025, ainsi que pour mieux appuyer le programme du gouvernement en matière de commerce et d’accès aux marchés et aider l’industrie à ouvrir de nouveaux marchés pour les produits canadiens, le ministre a rencontré des intervenants clés en Chine (mai et novembre 2018) et à Washington D.C. (février 2019). Afin d’aider le secteur à tirer parti des possibilités offertes par l’Accord économique et commercial global (AECG) entre le Canada et l’Union européenne (UE), le ministre a mobilisé des représentants clés de l’industrie et du gouvernement, notamment en participant à des réunions de haut niveau avec des commissaires de l’Union européenne et des représentants des États membres européens en Espagne, en Belgique et en Italie (octobre 2018).",aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2020,"The Department supports the sector from the farmer to the consumer, from the farm to global markets, through all phases of producing, processing and marketing of farm, food and agri-based products. Agriculture is a shared jurisdiction in Canada, and the Department works closely with provincial and territorial governments in the development and delivery of policies, programs and services.","Le ministère soutient le secteur entre l'agriculteur et le consommateur, entre l'exploitation agricole et les marchés mondiaux et concernent toutes les phases de la production, la transformation et la commercialisation des produits de la ferme, de l'alimentation et agro-industriels. L'agriculture relève d'une compétence partagée au Canada, et le ministère collabore étroitement avec les gouvernements provinciaux et territoriaux dans le cadre de l'élaboration et de l'exécution de politiques, de programmes et de services.",5579,1469,2176,523,608,,,234,148,31,"Compared to fiscal year 2018-2019, departmental travel expenditures in 2019-2020 decreased by $573,000 or 5%. This decrease is mainly attributed to reduced travel for operational activities as a result of the Caretaker Convention applying to the 2019 election, as well as cancelled trips due to the COVID-19 outbreak in early 2020.","En 2019‑2020, les dépenses de voyages du Ministère ont diminué de 573 000 $ comparativement à l’exercice 2018‑2019, soit une baisse de 5 %. Cette baisse est principalement attribuable à la réduction de voyages liés aux activités opérationnelles en raison de la Convention de transition en vigueur durant les élections de 2019, ainsi qu’aux voyages annulés à cause de l’éclosion de COVID-19 au début de 2020.","Compared to fiscal year 2018-2019, departmental hospitality expenditures in 2019-2020 decreased by $207,000 or 47%. This decrease was mainly due to the growing use of virtual workshops instead of in-person events. In addition, the decrease was also due to the cancellation of meetings and events that were originally planned for March 2020 because of the COVID-19 pandemic.","Par rapport à l’exercice 2018-2019, les dépenses d’accueil ministérielles en 2019-2020 ont diminué de 207 000 $, soit 47 %. Cette diminution est principalement due à l’utilisation croissante des ateliers virtuels au lieu de séances en personne. Elle s’explique également par l’annulation, en raison de la pandémie COVID-19, de réunions et d’événements qui étaient initialement prévus pour mars 2020.","Departmental Conference Fees in 2019-2020 varied only marginally from 2018-2019, with an increase of $8,000.","Les frais de conférences ministérielles en 2019-2020 n’ont que légèrement fluctué par rapport à 2018-2019, avec une augmentation de 8 000 $.","Compared to fiscal year 2018-2019, Minister and Minister’s Office staff international travel expenditures in 2019-2020 decreased by $123,000 or 79.9%. This decrease is primarily due to the Minister only travelling twice internationally in the election year of 2019-2020 compared to six international trips in 2018-2019. The Minister and her staff traveled to Japan in May of 2019 where she participated in the G20 Agriculture Ministers’ Meeting in Niigata, met with international counterparts, and engaged with key Japanese industry organizations from the grains, oilseed and meat sectors to emphasize the mutual importance of rules-based trade and the countries’ long-standing partnership. The Minister also traveled to Washington in February 2020 to collaborate with the U.S. and other partners within the Western Hemisphere Agricultural Group, also known as Ag5. At the United States Department of Agriculture (USDA)’s 96th Annual Agricultural Outlook Forum, Minister Bibeau participated in a panel discussion and also hosted a dialogue with key U.S. stakeholders from the Washington Agricultural Roundtable, Women in International Trade, and the U.S. Food and Ag Dialogue to discuss the importance of the Canada-U.S. trading relationship.","Par rapport à l’exercice 2018-2019, les dépenses pour les voyages internationaux de la ministre et de son cabinet ont diminué de 123 000 $ (79,9 %) en 2019-2020. Cette diminution est principalement due au fait que la ministre n’a effectué que deux voyages internationaux au cours de l’année électorale 2019-2020, contre six voyages internationaux en 2018-2019. La ministre et son personnel se sont rendus au Japon en mai 2019, où elle a participé à la réunion des ministres de l’Agriculture du G20 à Niigata, a rencontré ses homologues internationaux et s’est entretenue avec les principales organisations japonaises des secteurs des céréales, des oléagineux et de la viande, afin de souligner l’importance réciproque du commerce fondé sur des règles et du partenariat de longue date entre les deux pays. La ministre s’est également rendue à Washington en février 2020 pour collaborer avec les États-Unis et d’autres partenaires au sein du Groupe du secteur agricole de l’hémisphère occidental, également connu sous le nom de Ag5. Lors du 96e Forum annuel sur les perspectives agricoles du département de l’Agriculture des États-Unis (USDA), la ministre Bibeau a participé à une table ronde et a également été l’hôte d’une rencontre avec des intervenants américains clés de la Washington Agricultural Roundtable, de l’association Women in International Trade et du U.S. Food and Ag Dialogue pour discuter de l’importance des relations commerciales canado‑américaines.",aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2021,"The Department supports the sector from the farmer to the consumer, from the farm to global markets, through all phases of producing, processing and marketing of farm, food and agri-based products. Agriculture is a shared jurisdiction in Canada, and the Department works closely with provincial and territorial governments in the development and delivery of policies, programs and services.","Le ministère soutient le secteur entre l'agriculteur et le consommateur, entre l'exploitation agricole et les marchés mondiaux et concernent toutes les phases de la production, la transformation et la commercialisation des produits de la ferme, de l'alimentation et agro-industriels. L'agriculture relève d'une compétence partagée au Canada, et le ministère collabore étroitement avec les gouvernements provinciaux et territoriaux dans le cadre de l'élaboration et de l'exécution de politiques, de programmes et de services.",247,7,3,17,9,,,9,15,0,"Compared to fiscal year 2019-2020, departmental travel expenditures in 2020-2021 decreased by $10,073,000 or 97% due to the COVID-19 pandemic.","En 2020‑2021, les dépenses de voyages du Ministère ont diminué de 10 073 000 $ comparativement à l’exercice 2019‑2020, soit une baisse de 97 %. Cette baisse est principalement attribuable à la pandémie de COVID-19.","Compared to fiscal year 2019-2020, departmental hospitality expenditures in 2020-2021 decreased by $225,000 or 96% due to the COVID-19 pandemic.","En 2020‑2021, les dépenses d’accueil ministérielles ont diminué de 225 000 $   comparativement à l’exercice 2019‑2020, soit une baisse de 96 %. Cette baisse est principalement attribuable à la pandémie de COVID-19.","Compared to fiscal year 2019-2020, departmental conference fees in 2020-2021 decreased by $133,000 or 90% due to the COVID-19 pandemic.","En 2020‑2021, les frais de conférences ministérielles ont diminué de 133 000 $   comparativement à l’exercice 2019‑2020, soit une baisse de 90 %. Cette baisse est principalement attribuable à la pandémie de COVID-19.","Due to the global pandemic and travel restrictions, the Minister did not engage in any international outreach or trade missions.","En raison de la pandémie mondiale de COVID-19 et à des restrictions de voyage qu’elle a occasionné, la ministre n’a participé à aucune mission de promotion ou commerciale à l’échelle internationale.",aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2022,"The Department supports the sector from the farmer to the consumer, from the farm to global markets, through all phases of producing, processing and marketing of farm, food and agri-based products. Agriculture is a shared jurisdiction in Canada, and the Department works closely with provincial and territorial governments in the development and delivery of policies, programs and services.","Le ministère soutient le secteur entre l’agriculteur et le consommateur, entre l’exploitation agricole et les marchés mondiaux et concernent toutes les phases de la production, la transformation et la commercialisation des produits de la ferme, de l’alimentation et agro-industriels. L’agriculture relève d’une compétence partagée au Canada, et le ministère collabore étroitement avec les gouvernements provinciaux et territoriaux dans le cadre de l’élaboration et de l’exécution de politiques, de programmes et de services",690,56,3,68,18,,,38,31,7,"Compared to fiscal year 2020-2021, departmental travel expenditures in 2021-2022 increased by $552 thousand as a result of the easing of  COVID-19 restrictions.","En 2021-2022, les dépenses de voyage du Ministère ont augmenté de 552 000 $ comparativement à l’exercice 2020-2021 en raison de l’assouplissement des restrictions liées à la COVID-19.","Compared to fiscal year 2020-2021, departmental hospitality expenditures in 2021-2022 increased by $29 thousand as a result of  the easing of  COVID-19  restrictions.","En 2021-2022, les dépenses d’accueil du Ministère ont augmenté de 29 000 $ comparativement à l’exercice 2020-2021 en raison de l’assouplissement des restrictions liées à la COVID-19.","Compared to fiscal year 2020-2021, departmental conference fees in 2021-2022 increased by $16 thousand as a result of the easing of COVID-19 restrictions.","En 2021-2022, les frais de conférences ministérielles ont augmenté de 16 000 $ comparativement à l’exercice 2020-2021 en raison de l’assouplissement des restrictions liées à la COVID-19.","With the easing of international travel restrictions, the Minister and two support staff traveled to Washington to meet with the Secretary of Agriculture and officials in the United States Department of Agriculture (USDA).","Comme les restrictions imposées sur les voyages internationaux ont été assouplies, la ministre et deux membres de son personnel se sont rendus à Washington pour rencontrer le secrétaire à l’Agriculture et des représentants du département de l’Agriculture des États-Unis (USDA).  ",aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
